# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       4.489083966560e-01      -3.751112024652e-02      -2.961705070452e+02      -4.152969993346e+02       0.000000000000e+00      -3.749117824028e-02      -3.842530591559e+02       9.372794560069e-03       9.372794560069e-03      -1.453949062004e-06       4.751781227307e-01       4.946287257117e-01                      nan      -1.421736501665e-06       4.726244532411e-01 
       4.520094148981e-01      -3.711364207831e-02      -2.969900891647e+02      -4.166104767853e+02       0.000000000000e+00      -3.709391290846e-02      -3.854496470425e+02       9.273478227116e-03       9.273478227116e-03      -1.438710773996e-06       4.766239981643e-01       4.961779410852e-01                      nan      -1.406844240071e-06       4.740980460942e-01 
       4.551104333508e-01      -3.672062594815e-02      -2.977423043196e+02      -4.179003386762e+02       0.000000000000e+00      -3.670110764565e-02      -3.866163223502e+02       9.175276911413e-03       9.175276911413e-03      -1.423662039351e-06       4.780218630787e-01       4.976904668229e-01                      nan      -1.392138940362e-06       4.755345642430e-01 
       4.582114520099e-01      -3.633234724922e-02      -2.984465473219e+02      -4.191682924676e+02       0.000000000000e+00      -3.631303747945e-02      -3.877575654891e+02       9.078259369862e-03       9.078259369862e-03      -1.408791499071e-06       4.793813195738e-01       4.991702672586e-01                      nan      -1.377608332694e-06       4.769387113296e-01 
       4.613124708713e-01      -3.594925577826e-02      -2.991249011875e+02      -4.204177579154e+02       0.000000000000e+00      -3.593015175531e-02      -3.888796752744e+02       8.982537938828e-03       8.982537938828e-03      -1.394098351733e-06       4.807146457250e-01       5.006239289521e-01                      nan      -1.363250576650e-06       4.783177213602e-01 
       4.644134899308e-01      -3.557195919495e-02      -2.998006318794e+02      -4.216537554354e+02       0.000000000000e+00      -3.555305761880e-02      -3.899904381423e+02       8.888264404700e-03       8.888264404700e-03      -1.379594668138e-06       4.820363676427e-01       5.020606373122e-01                      nan      -1.349076633237e-06       4.796812722832e-01 
       4.675145091846e-01      -3.520124283630e-02      -3.004969008141e+02      -4.228834875955e+02       0.000000000000e+00      -3.518253983493e-02      -3.910993945497e+02       8.795634958732e-03       8.795634958732e-03      -1.365307456351e-06       4.833632468328e-01       5.034926842305e-01                      nan      -1.335112360838e-06       4.810418919675e-01 
       4.706155286287e-01      -3.483780396171e-02      -3.012332760922e+02      -4.241139158425e+02       0.000000000000e+00      -3.481929518624e-02      -3.922153158977e+02       8.704823796560e-03       8.704823796560e-03      -1.351266336506e-06       4.847103861617e-01       5.049318787974e-01                      nan      -1.321386454100e-06       4.824114581215e-01 
       4.737165482595e-01      -3.448212259181e-02      -3.020238209300e+02      -4.253507390298e+02       0.000000000000e+00      -3.446380338505e-02      -3.933450706236e+02       8.615950846262e-03       8.615950846262e-03      -1.337494880048e-06       4.860891291645e-01       5.063876474398e-01                      nan      -1.307921908808e-06       4.837993394007e-01 
       4.768175680732e-01      -3.413430717135e-02      -3.028749774451e+02      -4.265968686202e+02       0.000000000000e+00      -3.411617282021e-02      -3.944920492141e+02       8.529043205054e-03       8.529043205054e-03      -1.324001388011e-06       4.875045230560e-01       5.078645936896e-01                      nan      -1.294726938289e-06       4.852100332757e-01 
