# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  117       3.422724819248e+03       1.020847512805e+00       4.078914447158e-03      -3.556233115210e+01       9.092234181378e-08       3.363571020065e-04      -2.024126780454e-06 
  118       3.458468387996e+03       1.031251176831e+00       4.151149977406e-03      -3.617458142069e+01       9.033286674446e-08       3.331712693752e-04      -2.021957124203e-06 
  119       3.494312529306e+03       1.041265653315e+00       4.224145671520e-03      -3.677732214994e+01       8.974686640924e-08       3.300223352920e-04      -2.018460416998e-06 
  120       3.530251341102e+03       1.050880803961e+00       4.297907511803e-03      -3.736999230826e+01       8.916604090507e-08       3.269142142979e-04      -2.013701043725e-06 
  121       3.566278227346e+03       1.060086767089e+00       4.372441595668e-03      -3.795203067081e+01       8.859171642268e-08       3.238499423686e-04      -2.007752529969e-06 
  122       3.602385877165e+03       1.068873968520e+00       4.447754136550e-03      -3.852287607260e+01       8.802480085687e-08       3.208316127837e-04      -2.000697914539e-06 
  123       3.638566243977e+03       1.077233132475e+00       4.523851464828e-03      -3.908196766156e+01       8.746573750139e-08       3.178603106527e-04      -1.992630127805e-06 
  124       3.674810524621e+03       1.085155292462e+00       4.600740028738e-03      -3.962874515174e+01       8.691445679647e-08       3.149360460996e-04      -1.983652375844e-06 
  125       3.711109138477e+03       1.092631802173e+00       4.678426395289e-03      -4.016264907637e+01       8.637032609689e-08       3.120576861062e-04      -1.973878530399e-06 
  126       3.747451706597e+03       1.099654346373e+00       4.756917251184e-03      -4.068312104099e+01       8.583209742877e-08       3.092228850130e-04      -1.963433524639e-06 
  127       3.783827030833e+03       1.106214951796e+00       4.836219403735e-03      -4.118960397659e+01       8.529785320297e-08       3.064280136780e-04      -1.952453754734e-06 
  128       3.820223072957e+03       1.112305998035e+00       4.916339781778e-03      -4.168154239271e+01       8.476494985322e-08       3.036680872947e-04      -1.941087487239e-06 
  129       3.856628166739e+03       1.117920530269e+00       4.997285237171e-03      -4.215838816847e+01       8.423094642570e-08       3.009386114097e-04      -1.929469740202e-06 
  130       3.893034848832e+03       1.123053213103e+00       5.079061922719e-03      -4.261961810630e+01       8.369675189661e-08       2.982416241895e-04      -1.917641337410e-06 
  131       3.929436410647e+03       1.127699502436e+00       5.161675847419e-03      -4.306471879116e+01       8.316405239484e-08       2.955805076541e-04      -1.905617335976e-06 
  132       3.965825691147e+03       1.131855365934e+00       5.245133069261e-03      -4.349318151516e+01       8.263436243832e-08       2.929581199993e-04      -1.893411267691e-06 
  133       4.002195064796e+03       1.135517296078e+00       5.329439694717e-03      -4.390450257028e+01       8.210900274877e-08       2.903767591844e-04      -1.881035010413e-06 
  134       4.038536429505e+03       1.138682323219e+00       5.414601878232e-03      -4.429818354110e+01       8.158907715126e-08       2.878381258153e-04      -1.868498656820e-06 
  135       4.074841194587e+03       1.141348028630e+00       5.500625821712e-03      -4.467373159757e+01       8.107544854433e-08       2.853432853213e-04      -1.855810380495e-06 
  136       4.111100268699e+03       1.143512557559e+00       5.587517774013e-03      -4.503065978776e+01       8.056871392622e-08       2.828926294269e-04      -1.842976299359e-06 
  137       4.147304047796e+03       1.145174632278e+00       5.675284030436e-03      -4.536848733057e+01       8.006917846315e-08       2.804858369182e-04      -1.830000336449e-06 
  138       4.183442403078e+03       1.146333565140e+00       5.763930932210e-03      -4.568673990852e+01       7.957682858515e-08       2.781218337039e-04      -1.816884078041e-06 
  139       4.219504668937e+03       1.146989271631e+00       5.853464865986e-03      -4.598494996046e+01       7.909130409528e-08       2.757987521706e-04      -1.803626629112e-06 
  140       4.255479630911e+03       1.147142283416e+00       5.943892263329e-03      -4.626265697435e+01       7.861186927795e-08       2.735138898330e-04      -1.790224466155e-06 
  141       4.291355513629e+03       1.146793761401e+00       6.035219600200e-03      -4.651940777998e+01       7.813738299198e-08       2.712636672784e-04      -1.776671287332e-06 
  142       4.327119968759e+03       1.145945508779e+00       6.127453396454e-03      -4.675475684171e+01       7.766626773417e-08       2.690435854063e-04      -1.762957859971e-06 
  143       4.362760062962e+03       1.144599984082e+00       6.220600215327e-03      -4.696826655125e+01       7.719647765909e-08       2.668481819616e-04      -1.749071865411e-06 
  144       4.398263306249e+03       1.142760393923e+00       6.314666271749e-03      -4.715951145356e+01       7.672617004859e-08       2.646725776646e-04      -1.735001109558e-06 
  145       4.433620876786e+03       1.140430953963e+00       6.409656214858e-03      -4.732809077619e+01       7.625594236918e-08       2.625174682053e-04      -1.720744030858e-06 
  146       4.468824692583e+03       1.137616678599e+00       6.505574223928e-03      -4.747361769739e+01       7.578697051307e-08       2.603847856265e-04      -1.706300444226e-06 
  147       4.503866393613e+03       1.134323316985e+00       6.602424386038e-03      -4.759571583647e+01       7.532033116520e-08       2.582761546577e-04      -1.691668203724e-06 
  148       4.538737335740e+03       1.130557366535e+00       6.700210693308e-03      -4.769401956909e+01       7.485699004501e-08       2.561928738999e-04      -1.676843093803e-06 
  149       4.573428584644e+03       1.126326086442e+00       6.798937040144e-03      -4.776817434263e+01       7.439778971083e-08       2.541358966845e-04      -1.661818718699e-06 
  150       4.607930909755e+03       1.121637511182e+00       6.898607220478e-03      -4.781783699155e+01       7.394343692109e-08       2.521058116065e-04      -1.646586389983e-06 
  151       4.642234778176e+03       1.116500464026e+00       6.999224925012e-03      -4.784267605273e+01       7.349448954580e-08       2.501028227313e-04      -1.631135012247e-06 
  152       4.676330348614e+03       1.110924570550e+00       7.100793738458e-03      -4.784237208082e+01       7.305134302245e-08       2.481267294764e-04      -1.615450966952e-06 
  153       4.710207465307e+03       1.104920272148e+00       7.203317136778e-03      -4.781661796360e+01       7.261421635012e-08       2.461769061659e-04      -1.599517994408e-06 
