# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  122       3.599970894702e+03       1.065674001624e+00       0.000000000000e+00      -3.858003414050e+01       8.802480085687e-08       3.208316127837e-04      -2.000697914539e-06 
  123       3.636177692477e+03       1.073979827042e+00       0.000000000000e+00      -3.914165528912e+01       8.746573750139e-08       3.178603106527e-04      -1.992630127805e-06 
  124       3.672450467727e+03       1.081846892101e+00       0.000000000000e+00      -3.969101174067e+01       8.691445679647e-08       3.149360460996e-04      -1.983652375844e-06 
  125       3.708779662100e+03       1.089266460925e+00       0.000000000000e+00      -4.022754281358e+01       8.637032609689e-08       3.120576861062e-04      -1.973878530399e-06 
  126       3.745154918123e+03       1.096230126025e+00       0.000000000000e+00      -4.075068880402e+01       8.583209742877e-08       3.092228850130e-04      -1.963433524639e-06 
  127       3.781565058310e+03       1.102729819157e+00       0.000000000000e+00      -4.125989123727e+01       8.529785320297e-08       3.064280136780e-04      -1.952453754734e-06 
  128       3.817998064269e+03       1.108757822182e+00       0.000000000000e+00      -4.175459311911e+01       8.476494985322e-08       3.036680872947e-04      -1.941087487239e-06 
  129       3.854442289940e+03       1.114307079565e+00       0.000000000000e+00      -4.223424476104e+01       8.423094642570e-08       3.009386114097e-04      -1.929469740202e-06 
  130       3.890890296164e+03       1.119372151550e+00       0.000000000000e+00      -4.269832144455e+01       8.369675189661e-08       2.982416241895e-04      -1.917641337410e-06 
  131       3.927335399244e+03       1.123948386557e+00       0.000000000000e+00      -4.314630817874e+01       8.316405239484e-08       2.955805076541e-04      -1.905617335976e-06 
  132       3.963770462581e+03       1.128031641809e+00       0.000000000000e+00      -4.357769458862e+01       8.263436243832e-08       2.929581199993e-04      -1.893411267691e-06 
  133       4.000187884612e+03       1.131618296343e+00       0.000000000000e+00      -4.399197520640e+01       8.210900274877e-08       2.903767591844e-04      -1.881035010413e-06 
  134       4.036579586745e+03       1.134705264037e+00       0.000000000000e+00      -4.438864976275e+01       8.158907715126e-08       2.878381258153e-04      -1.868498656820e-06 
  135       4.072937001302e+03       1.137290006619e+00       0.000000000000e+00      -4.476722347810e+01       8.107544854433e-08       2.853432853213e-04      -1.855810380495e-06 
  136       4.109251059451e+03       1.139370546690e+00       0.000000000000e+00      -4.512720735390e+01       8.056871392622e-08       2.828926294269e-04      -1.842976299359e-06 
  137       4.145512179150e+03       1.140945480740e+00       0.000000000000e+00      -4.546811846390e+01       8.006917846315e-08       2.804858369182e-04      -1.830000336449e-06 
  138       4.181710253080e+03       1.142013992165e+00       0.000000000000e+00      -4.578948024546e+01       7.957682858515e-08       2.781218337039e-04      -1.816884078041e-06 
