# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       3.369581727509e-03      -1.064993516075e+00      -1.306576989507e+00      -1.311750737961e+00       0.000000000000e+00      -1.010030260725e+00      -1.303122841145e+00       5.797182340296e-01       5.736111129603e-01      -1.342729097910e-03      -1.581233392564e-06                      nan      -1.366101791704e-03      -5.200361991156e-05 
       3.483873489548e-03      -1.096535965992e+00      -1.393750388508e+00      -1.399657047598e+00       0.000000000000e+00      -1.036492907138e+00      -1.389218553360e+00       5.777821903180e-01       5.721365841954e-01      -1.496964710430e-03      -1.802464059113e-06                      nan      -1.518557440460e-03      -5.791354907982e-05 
       3.598759366763e-03      -1.125101112027e+00      -1.483926624812e+00      -1.490645324276e+00       0.000000000000e+00      -1.059896807723e+00      -1.478207038295e+00       5.758087946025e-01       5.706209876291e-01      -1.661230856391e-03      -2.047046316163e-06                      nan      -1.680117798791e-03      -6.419656831998e-05 
       3.714192786088e-03      -1.150472152263e+00      -1.577073760606e+00      -1.584689237174e+00       0.000000000000e+00      -1.080077506086e+00      -1.570056170470e+00       5.738011397817e-01       5.690657792652e-01      -1.835318922818e-03      -2.316540962804e-06                      nan      -1.850455336578e-03      -7.084308016041e-05 
       3.830131531369e-03      -1.172460208695e+00      -1.673158424338e+00      -1.681761312965e+00       0.000000000000e+00      -1.096902817473e+00      -1.664733529293e+00       5.717624326867e-01       5.674725798482e-01      -2.018930934158e-03      -2.612589337936e-06                      nan      -2.029156670764e-03      -7.784013473214e-05 
       3.946537306183e-03      -1.190905656403e+00      -1.772145548280e+00      -1.781832560912e+00       0.000000000000e+00      -1.110274607082e+00      -1.762206096816e+00       5.696957681920e-01       5.658429586851e-01      -2.211679753907e-03      -2.936871213147e-06                      nan      -2.215724970561e-03      -8.517146530168e-05 
       4.063375338686e-03      -1.205679874621e+00      -1.873999232796e+00      -1.884873213163e+00       0.000000000000e+00      -1.120129202520e+00      -1.862441031243e+00       5.676043108184e-01       5.641786242151e-01      -2.413091393440e-03      -3.291049851009e-06                      nan      -2.409585575963e-03      -9.281761972398e-05 
       4.180614025754e-03      -1.216686567259e+00      -1.978681523622e+00      -1.990852150884e+00       0.000000000000e+00      -1.126438429274e+00      -1.965405041051e+00       5.654910281765e-01       5.624811646639e-01      -2.622607581858e-03      -3.677056256355e-06                      nan      -2.610090795966e-03      -1.007561385775e-04 
       4.298224613405e-03      -1.223862040409e+00      -2.086154660075e+00      -2.099737942753e+00       0.000000000000e+00      -1.129208965039e+00      -2.071065583530e+00       5.633589890269e-01       5.607523547426e-01      -2.839590466254e-03      -4.096555625045e-06                      nan      -2.816528555686e-03      -1.089617124659e-04 
       4.416180910359e-03      -1.227175811907e+00      -2.196379820715e+00      -2.211498149818e+00       0.000000000000e+00      -1.128482571227e+00      -2.179390113743e+00       5.612110893102e-01       5.589938870387e-01      -3.063327121072e-03      -4.551204303543e-06                      nan      -3.028129428015e-03      -1.174064346652e-04 
       4.534459031676e-03      -1.226631908602e+00      -2.309316229047e+00      -2.326099674202e+00       0.000000000000e+00      -1.124335162665e+00      -2.290346235983e+00       5.590500870673e-01       5.572074123801e-01      -3.293036970952e-03      -5.043176352160e-06                      nan      -3.244076149358e-03      -1.260602011677e-04 
       4.653037169509e-03      -1.222267402142e+00      -2.424924184414e+00      -2.443509697550e+00       0.000000000000e+00      -1.116875139090e+00      -2.403902904071e+00       5.568788467970e-01       5.553947905070e-01      -3.527879040227e-03      -5.574252624106e-06                      nan      -3.463514974099e-03      -1.348909083773e-04 
       4.771895388214e-03      -1.214152202217e+00      -2.543162060962e+00      -2.563694031790e+00       0.000000000000e+00      -1.106242913138e+00      -2.520028595059e+00       5.546998770667e-01       5.535576300742e-01      -3.766959048513e-03      -6.146432094304e-06                      nan      -3.685564408322e-03      -1.438648469106e-04 
       4.891015441268e-03      -1.202388471164e+00      -2.663989239628e+00      -2.686619068550e+00       0.000000000000e+00      -1.092607979537e+00      -2.638693314207e+00       5.525157836186e-01       5.516977462613e-01      -4.009340110483e-03      -6.761480792310e-06                      nan      -3.909328879846e-03      -1.529470862682e-04 
       5.010380607654e-03      -1.187109785958e+00      -2.787363567231e+00      -2.812250593518e+00       0.000000000000e+00      -1.076167460633e+00      -2.759867195844e+00       5.503289380277e-01       5.498168311391e-01      -4.254052079531e-03      -7.421520433354e-06                      nan      -4.133909064896e-03      -1.621019408360e-04 
       5.129975545600e-03      -1.168478905961e+00      -2.913242617607e+00      -2.940554070425e+00       0.000000000000e+00      -1.057143452760e+00      -2.883520865363e+00       5.481415562950e-01       5.479165341303e-01      -4.500101030246e-03      -8.128595585866e-06                      nan      -4.358414425782e-03      -1.712933121802e-04 
       5.249786161774e-03      -1.146687692117e+00      -3.041584541864e+00      -3.071495712629e+00       0.000000000000e+00      -1.035779961306e+00      -3.009626406742e+00       5.459558796580e-01       5.459986437945e-01      -4.746483835678e-03      -8.884826871273e-06                      nan      -4.581976398806e-03      -1.804852494157e-04 
       5.369799494223e-03      -1.121953250671e+00      -3.172346732272e+00      -3.205040798485e+00       0.000000000000e+00      -1.012340606332e+00      -3.138155689100e+00       5.437738450924e-01       5.440647579055e-01      -4.992195116718e-03      -9.692216738319e-06                      nan      -4.803759000313e-03      -1.896422416760e-04 
       5.490003607536e-03      -1.094516965525e+00      -3.305487687155e+00      -3.341155674202e+00       0.000000000000e+00      -9.871047884373e-01      -3.269082227482e+00       5.415974303182e-01       5.421166285536e-01      -5.236242272732e-03      -1.055271140015e-05                      nan      -5.022972113287e-03      -1.987297758601e-04 
       5.610387498875e-03      -1.064641930764e+00      -3.440963997810e+00      -3.479806043202e+00       0.000000000000e+00      -9.603650559426e-01      -3.402379238792e+00       5.394283166368e-01       5.401558231634e-01      -5.477655882321e-03      -1.146874079364e-05                      nan      -5.238881425599e-03      -2.077148127898e-04 
       5.730941013670e-03      -1.032609796068e+00      -3.578733544343e+00      -3.620957774839e+00       0.000000000000e+00      -9.324233758617e-01      -3.538020709759e+00       5.372680789209e-01       5.381839116314e-01      -5.715500521370e-03      -1.244225040920e-05                      nan      -5.450820218098e-03      -2.165660633873e-04 
