# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   93       2.608863806520e+03       6.939679774564e-01       0.000000000000e+00      -1.963889485977e+01       1.061553874737e-07       4.341360886455e-04      -2.045272870615e-06 
   94       2.640341174053e+03       7.099430717753e-01       0.000000000000e+00      -2.031515994431e+01       1.054745485292e-07       4.290196801706e-04      -2.047454554997e-06 
   95       2.672055504073e+03       7.258572052174e-01       0.000000000000e+00      -2.099528023847e+01       1.048035538452e-07       4.240340574043e-04      -2.047890794823e-06 
   96       2.704001262540e+03       7.416950377045e-01       0.000000000000e+00      -2.167872742562e+01       1.041411788180e-07       4.191695593136e-04      -2.047033509583e-06 
   97       2.736171117074e+03       7.574409358620e-01       0.000000000000e+00      -2.236496011516e+01       1.034843006147e-07       4.144108108443e-04      -2.045396515223e-06 
   98       2.768555867271e+03       7.730789744280e-01       0.000000000000e+00      -2.305342389368e+01       1.028276764012e-07       4.097363089173e-04      -2.043558694505e-06 
   99       2.801146669957e+03       7.885933135964e-01       0.000000000000e+00      -2.374356255014e+01       1.021660280463e-07       4.051254840944e-04      -2.042048262238e-06 
  100       2.833942225219e+03       8.039693889860e-01       0.000000000000e+00      -2.443485345540e+01       1.015015073346e-07       4.005825474230e-04      -2.040960170464e-06 
  101       2.866942483495e+03       8.191928936218e-01       0.000000000000e+00      -2.512677731217e+01       1.008378890813e-07       3.961169049091e-04      -2.040263684297e-06 
  102       2.900146400112e+03       8.342494229280e-01       0.000000000000e+00      -2.581880761210e+01       1.001783422554e-07       3.917359379556e-04      -2.039913331753e-06 
  103       2.933551893416e+03       8.491244806938e-01       0.000000000000e+00      -2.651041082234e+01       9.952533283568e-08       3.874448225486e-04      -2.039847892433e-06 
  104       2.967155802908e+03       8.638034850390e-01       0.000000000000e+00      -2.720104657207e+01       9.888052151903e-08       3.832463439226e-04      -2.039989362938e-06 
  105       3.000953847377e+03       8.782717743797e-01       0.000000000000e+00      -2.789016783905e+01       9.824465617864e-08       3.791407067062e-04      -2.040241899013e-06 
  106       3.034940583037e+03       8.925146133945e-01       0.000000000000e+00      -2.857722113615e+01       9.761745896826e-08       3.751253405449e-04      -2.040490734410e-06 
  107       3.069109361660e+03       9.065171989896e-01       0.000000000000e+00      -2.926164669793e+01       9.699750796884e-08       3.711947012054e-04      -2.040601076498e-06 
  108       3.103452288709e+03       9.202646662649e-01       0.000000000000e+00      -2.994287866716e+01       9.638211327441e-08       3.673400671576e-04      -2.040416978584e-06 
  109       3.137960181477e+03       9.337420944799e-01       0.000000000000e+00      -3.062034528136e+01       9.576718741338e-08       3.635493316366e-04      -2.039760188977e-06 
  110       3.172624091435e+03       9.469348766743e-01       0.000000000000e+00      -3.129347262988e+01       9.514879365437e-08       3.598111135674e-04      -2.038467515120e-06 
  111       3.207440182558e+03       9.598298694943e-01       0.000000000000e+00      -3.196169607143e+01       9.452854998746e-08       3.561284582950e-04      -2.036513687636e-06 
  112       3.242405401874e+03       9.724144023684e-01       0.000000000000e+00      -3.262445063364e+01       9.390934138911e-08       3.525073620415e-04      -2.033909821796e-06 
  113       3.277515944870e+03       9.846759364369e-01       0.000000000000e+00      -3.328116779227e+01       9.329370443714e-08       3.489525828158e-04      -2.030666846962e-06 
  114       3.312767228995e+03       9.966020740919e-01       0.000000000000e+00      -3.393127569282e+01       9.268377444539e-08       3.454675419579e-04      -2.026795416697e-06 
  115       3.348153867169e+03       1.008180568517e+00       0.000000000000e+00      -3.457419937216e+01       9.208123004521e-08       3.420542234701e-04      -2.022305816173e-06 
  116       3.383669641294e+03       1.019399333225e+00       0.000000000000e+00      -3.520936098020e+01       9.148723516723e-08       3.387130711340e-04      -2.017207866876e-06 
  117       3.419307475756e+03       1.030246451604e+00       0.000000000000e+00      -3.583618000151e+01       9.090237837697e-08       3.354428834147e-04      -2.011510828599e-06 
  118       3.455059410935e+03       1.040710186448e+00       0.000000000000e+00      -3.645407347693e+01       9.032660951761e-08       3.322407061510e-04      -2.005223298737e-06 
  119       3.490916576714e+03       1.050778989504e+00       0.000000000000e+00      -3.706245622524e+01       8.975917361335e-08       3.291017230318e-04      -1.998353108875e-06 
  120       3.526869165986e+03       1.060441511010e+00       0.000000000000e+00      -3.766074106479e+01       8.919854198691e-08       3.260191438596e-04      -1.990907218668e-06 
  121       3.562906408161e+03       1.069686609230e+00       0.000000000000e+00      -3.824833903511e+01       8.864234054446e-08       3.229840906000e-04      -1.982891607020e-06 
  122       3.599016542673e+03       1.078503360002e+00       0.000000000000e+00      -3.882465961857e+01       8.808727518148e-08       3.199854812175e-04      -1.974311160558e-06 
  123       3.635188199136e+03       1.086881431268e+00       0.000000000000e+00      -3.938911830823e+01       8.753026523323e-08       3.170133463682e-04      -1.965175423709e-06 
  124       3.671414773768e+03       1.094812235083e+00       0.000000000000e+00      -3.994115982367e+01       8.697231350371e-08       3.140696869926e-04      -1.955517223587e-06 
  125       3.707690508153e+03       1.102287926548e+00       0.000000000000e+00      -4.048023799234e+01       8.641537180661e-08       3.111592607893e-04      -1.945377030785e-06 
  126       3.744009112360e+03       1.109301062950e+00       0.000000000000e+00      -4.100580891882e+01       8.586117901322e-08       3.082862687205e-04      -1.934797393690e-06 
  127       3.780363749517e+03       1.115844616176e+00       0.000000000000e+00      -4.151733126421e+01       8.531123228823e-08       3.054543114867e-04      -1.923822956338e-06 
  128       3.816747020387e+03       1.121911985121e+00       0.000000000000e+00      -4.201426652559e+01       8.476675708220e-08       3.026663451004e-04      -1.912500475800e-06 
  129       3.853150947942e+03       1.127497008102e+00       0.000000000000e+00      -4.249607931544e+01       8.422867586058e-08       2.999246355599e-04      -1.900878839107e-06 
  130       3.889566961939e+03       1.132593975267e+00       0.000000000000e+00      -4.296223764109e+01       8.369757554891e-08       2.972307126223e-04      -1.889009079706e-06 
  131       3.925985883494e+03       1.137197641011e+00       0.000000000000e+00      -4.341221318416e+01       8.317367367384e-08       2.945853226752e-04      -1.876944393460e-06 
  132       3.962397909656e+03       1.141303236381e+00       0.000000000000e+00      -4.384548157996e+01       8.265678317960e-08       2.919883807098e-04      -1.864740154183e-06 
  133       3.998792597983e+03       1.144906481494e+00       0.000000000000e+00      -4.426152269695e+01       8.214627589976e-08       2.894389213910e-04      -1.852453928705e-06 
  134       4.035158851118e+03       1.148003597945e+00       0.000000000000e+00      -4.465982091618e+01       8.164104466371e-08       2.869350492292e-04      -1.840145491483e-06 
  135       4.071484901362e+03       1.150591321217e+00       0.000000000000e+00      -4.503986541070e+01       8.113946401775e-08       2.844738878504e-04      -1.827876838743e-06 
  136       4.107758295249e+03       1.152666913097e+00       0.000000000000e+00      -4.540115042501e+01       8.063934954034e-08       2.820515283656e-04      -1.815712202158e-06 
  137       4.143966961968e+03       1.154228378928e+00       0.000000000000e+00      -4.574318021107e+01       8.013871300142e-08       2.796643202639e-04      -1.803704080935e-06 
  138       4.180102576056e+03       1.155275118483e+00       0.000000000000e+00      -4.606548382121e+01       7.963829819866e-08       2.773130844527e-04      -1.791848852986e-06 
  139       4.216157515046e+03       1.155807366289e+00       0.000000000000e+00      -4.636760238291e+01       7.913948625575e-08       2.749994536020e-04      -1.780124308167e-06 
  140       4.252123798378e+03       1.155826006411e+00       0.000000000000e+00      -4.664908488571e+01       7.864352847899e-08       2.727245572172e-04      -1.768502769874e-06 
  141       4.287993078849e+03       1.155332586163e+00       0.000000000000e+00      -4.690948849020e+01       7.815153049086e-08       2.704889918313e-04      -1.756950832444e-06 
  142       4.323756634075e+03       1.154329329825e+00       0.000000000000e+00      -4.714837883702e+01       7.766443574658e-08       2.682927906685e-04      -1.745429094207e-06 
  143       4.359405357936e+03       1.152819152344e+00       0.000000000000e+00      -4.736533035581e+01       7.718300842429e-08       2.661353927803e-04      -1.733891886213e-06 
  144       4.394929752038e+03       1.150805673056e+00       0.000000000000e+00      -4.755992657427e+01       7.670781567985e-08       2.640156116525e-04      -1.722286996617e-06 
  145       4.430319917162e+03       1.148293229393e+00       0.000000000000e+00      -4.773176042706e+01       7.623920925725e-08       2.619316032838e-04      -1.710555390729e-06 
  146       4.465565544722e+03       1.145286890594e+00       0.000000000000e+00      -4.788043456489e+01       7.577730644542e-08       2.598808337363e-04      -1.698630926733e-06 
  147       4.500655908217e+03       1.141792471419e+00       0.000000000000e+00      -4.800556166342e+01       7.532197037241e-08       2.578600461572e-04      -1.686440067063e-06 
  148       4.535579854685e+03       1.137816545858e+00       0.000000000000e+00      -4.810676473232e+01       7.487278962787e-08       2.558652272723e-04      -1.673901585449e-06 
  149       4.570325796159e+03       1.133366460845e+00       0.000000000000e+00      -4.818367742420e+01       7.442905720473e-08       2.538915733511e-04      -1.660926269625e-06 
  150       4.604881701120e+03       1.128450349971e+00       0.000000000000e+00      -4.823594434365e+01       7.398974875099e-08       2.519334556429e-04      -1.647416619701e-06 
  151       4.639235085952e+03       1.123077147190e+00       0.000000000000e+00      -4.826322135622e+01       7.355350012245e-08       2.499843852858e-04      -1.633266542202e-06 
  152       4.673373006395e+03       1.117256600536e+00       0.000000000000e+00      -4.826517589737e+01       7.311858422751e-08       2.480369776856e-04      -1.618361039765e-06 
  153       4.707282991810e+03       1.110999151415e+00       0.000000000000e+00      -4.824148877714e+01       7.268346222275e-08       2.460849103927e-04      -1.602603576495e-06 
  154       4.740955963649e+03       1.104315531001e+00       0.000000000000e+00      -4.819185913236e+01       7.224860518016e-08       2.441291823098e-04      -1.586003155062e-06 
  155       4.774383573191e+03       1.097217152302e+00       0.000000000000e+00      -4.811600052595e+01       7.181496341838e-08       2.421726573736e-04      -1.568598768204e-06 
  156       4.807557279391e+03       1.089716254119e+00       0.000000000000e+00      -4.801363980659e+01       7.138341278086e-08       2.402181405909e-04      -1.550432887455e-06 
  157       4.840468345140e+03       1.081825914076e+00       0.000000000000e+00      -4.788451742536e+01       7.095474630336e-08       2.382683710362e-04      -1.531551565111e-06 
  158       4.873107833522e+03       1.073560061650e+00       0.000000000000e+00      -4.772838775233e+01       7.052966558943e-08       2.363260147190e-04      -1.512004537369e-06 
  159       4.905466604064e+03       1.064933491191e+00       0.000000000000e+00      -4.754501939318e+01       7.010877189014e-08       2.343936573182e-04      -1.491845328638e-06 
  160       4.937535309000e+03       1.055961874958e+00       0.000000000000e+00      -4.733419550579e+01       6.969255688393e-08       2.324737967861e-04      -1.471131357030e-06 
  161       4.969304389521e+03       1.046661776136e+00       0.000000000000e+00      -4.709571411686e+01       6.928139315305e-08       2.305688358202e-04      -1.449924041019e-06 
  162       5.000764072033e+03       1.037050661874e+00       0.000000000000e+00      -4.682938843851e+01       6.887552435240e-08       2.286810742042e-04      -1.428288907277e-06 
  163       5.031904364413e+03       1.027146916302e+00       0.000000000000e+00      -4.653504718490e+01       6.847505506717e-08       2.268127010168e-04      -1.406295699692e-06 
  164       5.062715052264e+03       1.016969853566e+00       0.000000000000e+00      -4.621253488882e+01       6.807994035523e-08       2.249657867095e-04      -1.384018489546e-06 
  165       5.093185695172e+03       1.006539730849e+00       0.000000000000e+00      -4.586171221831e+01       6.768997497048e-08       2.231422750531e-04      -1.361535786882e-06 
  166       5.123305622962e+03       9.958777614028e-01       0.000000000000e+00      -4.548245629326e+01       6.730478226329e-08       2.213439749521e-04      -1.338930653037e-06 
  167       5.153063931952e+03       9.850061275716e-01       0.000000000000e+00      -4.507466100202e+01       6.692380275417e-08       2.195725521280e-04      -1.316290814352e-06 
  168       5.182449481212e+03       9.739479938215e-01       0.000000000000e+00      -4.463823731802e+01       6.654628237678e-08       2.178295206712e-04      -1.293708777058e-06 
  169       5.211450888818e+03       9.627275197664e-01       0.000000000000e+00      -4.417311361635e+01       6.617126038643e-08       2.161162344616e-04      -1.271281943336e-06 
  170       5.240056528108e+03       9.513698731951e-01       0.000000000000e+00      -4.367923599040e+01       6.579755693016e-08       2.144338784566e-04      -1.249112728549e-06 
  171       5.268255280493e+03       9.399004744129e-01       0.000000000000e+00      -4.315656272132e+01       6.542414012697e-08       2.127833959518e-04      -1.227288684830e-06 
  172       5.296038872178e+03       9.283426312867e-01       0.000000000000e+00      -4.260504650632e+01       6.505132400575e-08       2.111652789176e-04      -1.205819821719e-06 
