# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       4.551104333508e-01      -1.186362549886e-02      -2.977118768364e+02      -4.178660679847e+02      -4.178659156797e+02       0.000000000000e+00      -1.184410828408e-02      -3.865829377480e+02       9.174823806790e-03       9.174823806790e-03      -4.976664553882e-01      -1.967120063306e-02      -1.271984284905e-08                      nan      -4.976664238670e-01      -2.215533957158e-02 
       4.582114520099e-01      -1.173770085922e-02      -2.984163733365e+02      -4.191341901348e+02      -4.191340342263e+02       0.000000000000e+00      -1.171839221742e-02      -3.877243655554e+02       9.077783957703e-03       9.077783957703e-03      -4.991448902235e-01      -1.979154292409e-02      -1.297442362566e-08                      nan      -4.991448590422e-01      -2.223094096570e-02 
       4.613124708713e-01      -1.161348912718e-02      -2.990944434135e+02      -4.203833353114e+02      -4.203831757347e+02       0.000000000000e+00      -1.159438623261e-02      -3.888461776754e+02       8.982062321628e-03       8.982062321628e-03      -5.005981455271e-01      -1.991186288679e-02      -1.323251771342e-08                      nan      -5.005981146813e-01      -2.230557517557e-02 
       4.644134899308e-01      -1.149121607572e-02      -2.997691359638e+02      -4.216181751917e+02      -4.216180118834e+02       0.000000000000e+00      -1.147231560572e-02      -3.899558429124e+02       8.887802449211e-03       8.887802449211e-03      -5.020349986070e-01      -2.002681052108e-02      -1.349404168215e-08                      nan      -5.020349680908e-01      -2.237873257303e-02 
       4.675145091846e-01      -1.137116954120e-02      -3.004643508607e+02      -4.228467070384e+02      -4.228465399341e+02       0.000000000000e+00      -1.135246759126e-02      -3.910636643987e+02       8.795203348526e-03       8.795203348526e-03      -5.034680339079e-01      -2.013193072536e-02      -1.375911757027e-08                      nan      -5.034680037146e-01      -2.245019066967e-02 
       4.706155286287e-01      -1.125356882275e-02      -3.011997613489e+02      -4.240759136509e+02      -4.240757426810e+02       0.000000000000e+00      -1.123506104905e-02      -3.921784476263e+02       8.704419570003e-03       8.704419570003e-03      -5.049081087812e-01      -2.022392790159e-02      -1.402799357613e-08                      nan      -5.049080789031e-01      -2.251984413412e-02 
       4.737165482595e-01      -1.113858100740e-02      -3.019901044818e+02      -4.253124237053e+02      -4.253122488177e+02       0.000000000000e+00      -1.112026274994e-02      -3.933079230505e+02       8.615573193945e-03       8.615573193945e-03      -5.063648945129e-01      -2.030092508685e-02      -1.430000265428e-08                      nan      -5.063648649416e-01      -2.258776645267e-02 
       4.768175680732e-01      -1.102622012814e-02      -3.028414415198e+02      -4.265586583722e+02      -4.265584794956e+02       0.000000000000e+00      -1.100808670464e-02      -3.944550225351e+02       8.528675296124e-03       8.528675296124e-03      -5.078420813035e-01      -2.036246659882e-02      -1.457592403455e-08                      nan      -5.078420520307e-01      -2.265402683548e-02 
       4.799185880663e-01      -1.091639112747e-02      -3.037522641983e+02      -4.278141104553e+02      -4.278139275193e+02       0.000000000000e+00      -1.089843805031e-02      -3.956190938366e+02       8.443658915889e-03       8.443658915889e-03      -5.093389255860e-01      -2.040947556942e-02      -1.485573522657e-08                      nan      -5.093388966037e-01      -2.271874272279e-02 
       4.830196082354e-01      -1.080890509160e-02      -3.047140914412e+02      -4.290755927220e+02      -4.290754056598e+02       0.000000000000e+00      -1.079112825090e-02      -3.967961973305e+02       8.360390292855e-03       8.360390292855e-03      -5.108506280964e-01      -2.044407984160e-02      -1.513929777166e-08                      nan      -5.108505993975e-01      -2.278206673792e-02 
       4.861206285770e-01      -1.070355365920e-02      -3.057148763578e+02      -4.303396427571e+02      -4.303394514994e+02       0.000000000000e+00      -1.068594936871e-02      -3.979816010879e+02       8.278725071031e-03       8.278725071031e-03      -5.123715176757e-01      -2.046929523273e-02      -1.542667331796e-08                      nan      -5.123714892537e-01      -2.284425847664e-02 
       4.892216490879e-01      -1.060017034010e-02      -3.067414419957e+02      -4.316047993006e+02      -4.316046037831e+02       0.000000000000e+00      -1.058273527315e-02      -3.991720166835e+02       8.198554996788e-03       8.198554996788e-03      -5.138979168001e-01      -2.048886730348e-02      -1.571761840903e-08                      nan      -5.138978886495e-01      -2.290576916713e-02 
       4.923226697648e-01      -1.049853242145e-02      -3.077782069466e+02      -4.328671910023e+02      -4.328669911552e+02       0.000000000000e+00      -1.048126369659e-02      -4.003618163453e+02       8.119729046615e-03       8.119729046615e-03      -5.154231884112e-01      -2.050650488436e-02      -1.601237316901e-08                      nan      -5.154231605273e-01      -2.296693096706e-02 
       4.954236906047e-01      -1.039848917961e-02      -3.088114902983e+02      -4.341255175480e+02      -4.341253132991e+02       0.000000000000e+00      -1.038138423406e-02      -4.015477618288e+02       8.042150889970e-03       8.042150889970e-03      -5.169437737199e-01      -2.052592041579e-02      -1.631106007799e-08                      nan      -5.169437460987e-01      -2.302819441421e-02 
       4.985247116044e-01      -1.029991349534e-02      -3.098290661597e+02      -4.353788116008e+02      -4.353786028846e+02       0.000000000000e+00      -1.028297003279e-02      -4.027271172654e+02       7.965738287671e-03       7.965738287671e-03      -5.184566628339e-01      -2.055026764015e-02      -1.661331107330e-08                      nan      -5.184566354719e-01      -2.308994275323e-02 
       5.016257327611e-01      -1.020260877586e-02      -3.108173613096e+02      -4.366224865617e+02      -4.366222733008e+02       0.000000000000e+00      -1.018582487147e-02      -4.038939949508e+02       7.890350909533e-03       7.890350909533e-03      -5.199546765886e-01      -2.058201124716e-02      -1.691969294878e-08                      nan      -5.199546494831e-01      -2.315229076278e-02 
       5.047267540718e-01      -1.010641778848e-02      -3.117659698669e+02      -4.378524802456e+02      -4.378522623717e+02       0.000000000000e+00      -1.008979180663e-02      -4.050434381376e+02       7.815872737661e-03       7.815872737661e-03      -5.214316585481e-01      -2.062267686923e-02      -1.722971614615e-08                      nan      -5.214316316969e-01      -2.321524394819e-02 
       5.078277755336e-01      -1.001124270096e-02      -3.126686783517e+02      -4.390662168755e+02      -4.390659943155e+02       0.000000000000e+00      -9.994773178500e-03      -4.061723652147e+02       7.742228688444e-03       7.742228688444e-03      -5.228837149926e-01      -2.067289731684e-02      -1.754359389659e-08                      nan      -5.228836883938e-01      -2.327875330479e-02 
       5.109287971439e-01      -9.917007139090e-03      -3.135228576298e+02      -4.402610233384e+02      -4.402607960202e+02       0.000000000000e+00      -9.900692728027e-03      -4.072781875536e+02       7.669356194121e-03       7.669356194121e-03      -5.243074561033e-01      -2.073227495919e-02      -1.786124011805e-08                      nan      -5.243074297552e-01      -2.334262625550e-02 
       5.140298188999e-01      -9.823744277861e-03      -3.143322089900e+02      -4.414382389886e+02      -4.414380068405e+02       0.000000000000e+00      -9.807583544666e-03      -4.083625825952e+02       7.597274700076e-03       7.597274700076e-03      -5.257048903734e-01      -2.079969345229e-02      -1.818263885729e-08                      nan      -5.257048642739e-01      -2.340676323406e-02 
       5.171308407990e-01      -9.731529764983e-03      -3.151041958581e+02      -4.426006297229e+02      -4.426003926700e+02       0.000000000000e+00      -9.715521105816e-03      -4.094289856798e+02       7.526034701965e-03       7.526034701965e-03      -5.270802205321e-01      -2.087340231616e-02      -1.850797009738e-08                      nan      -5.270801946791e-01      -2.347104842777e-02 
