# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_m                    8:d_tot                  9:phi                   10:psi                
       2.271794502225e-03      -6.472623172945e-01      -6.042159526747e-01      -6.052956000290e-01       0.000000000000e+00      -6.312855170388e-01      -6.052009625747e-01      -6.061502899892e-01       5.963852391313e-01       5.858252480911e-01 
       2.376161980488e-03      -6.924476909544e-01      -6.600987726769e-01      -6.613902293432e-01       0.000000000000e+00      -6.738122259664e-01      -6.612684194654e-01      -6.618634672528e-01       5.949866417814e-01       5.848317994925e-01 
       2.481955008035e-03      -7.377454439486e-01      -7.191410796249e-01      -7.206774720886e-01       0.000000000000e+00      -7.161626807491e-01      -7.205234738568e-01      -7.206712850798e-01       5.935230404088e-01       5.837862403197e-01 
       2.589051317719e-03      -7.828237331745e-01      -7.813467379728e-01      -7.831648352645e-01       0.000000000000e+00      -7.580015353280e-01      -7.829730325853e-01      -7.825707930798e-01       5.919965037746e-01       5.826891701193e-01 
       2.697338936790e-03      -8.273457327955e-01      -8.467136686906e-01      -8.488541212755e-01       0.000000000000e+00      -7.989929693038e-01      -8.486182601641e-01      -8.475533724734e-01       5.904093306820e-01       5.815413365282e-01 
       2.806715698050e-03      -8.709737292914e-01      -9.152345434569e-01      -9.177421046967e-01       0.000000000000e+00      -8.388053067229e-01      -9.174552566167e-01      -9.156055209062e-01       5.887639999898e-01       5.803436016643e-01 
       2.917088641569e-03      -9.133731135585e-01      -9.868975117621e-01      -9.898212148970e-01       0.000000000000e+00      -8.771153287680e-01      -9.894757445173e-01      -9.867096418796e-01       5.870631826002e-01       5.790969695566e-01 
       3.028373358023e-03      -9.542161694229e-01      -1.061686684010e+00      -1.065080013534e+00       0.000000000000e+00      -9.136124967534e-01      -1.064667548723e+00      -1.060844624243e+00       5.853096655558e-01       5.778025255695e-01 
       3.140493311229e-03      -9.931860805928e-01      -1.139582491152e+00      -1.143503762628e+00       0.000000000000e+00      -9.480027264817e-01      -1.143015140886e+00      -1.137986473910e+00       5.835063673180e-01       5.764614649680e-01 
       3.253379166472e-03      -1.029979722693e+00      -1.220562453001e+00      -1.225074753389e+00       0.000000000000e+00      -9.800120347754e-01      -1.224500017061e+00      -1.218108794329e+00       5.816562824423e-01       5.750750527302e-01 
       3.366968142561e-03      -1.064311663390e+00      -1.304601113433e+00      -1.309772781367e+00       0.000000000000e+00      -1.009389668190e+00      -1.309101112661e+00      -1.301183267303e+00       5.797624881408e-01       5.736446414237e-01 
       3.481203398983e-03      -1.095916299550e+00      -1.391670841689e+00      -1.397575354495e+00       0.000000000000e+00      -1.035911076922e+00      -1.396795079038e+00      -1.387180021519e+00       5.778280943289e-01       5.721716350942e-01 
       3.596033464646e-03      -1.124551466340e+00      -1.481741658682e+00      -1.488458155900e+00       0.000000000000e+00      -1.059380258880e+00      -1.487556671007e+00      -1.476068069988e+00       5.758562733795e-01       5.706575291086e-01 
       3.711411711222e-03      -1.149999894321e+00      -1.574781871280e+00      -1.582395019047e+00       0.000000000000e+00      -1.079632108836e+00      -1.581358802260e+00      -1.567815443887e+00       5.738501566821e-01       5.691038189745e-01 
       3.827295871646e-03      -1.172072371924e+00      -1.670757887254e+00      -1.679358460103e+00       0.000000000000e+00      -1.096533863565e+00      -1.678172988612e+00      -1.662389666317e+00       5.718129128554e-01       5.675120874560e-01 
       3.943647602717e-03      -1.190608550858e+00      -1.769634966584e+00      -1.779319667597e+00       0.000000000000e+00      -1.109986564819e+00      -1.777969433224e+00      -1.759757894940e+00       5.697476785390e-01       5.658839462205e-01 
       4.060432089691e-03      -1.205479270343e+00      -1.871376874141e+00      -1.882248783871e+00       0.000000000000e+00      -1.119925874348e+00      -1.880717229537e+00      -1.859887144411e+00       5.676575596832e-01       5.642210447076e-01 
       4.177617690163e-03      -1.216586806689e+00      -1.975946532614e+00      -1.988114827456e+00       0.000000000000e+00      -1.126322689146e+00      -1.986384376982e+00      -1.962744339148e+00       5.655455713525e-01       5.625250188962e-01 
       4.295175614210e-03      -1.223867306078e+00      -2.083305607147e+00      -2.096886464782e+00       0.000000000000e+00      -1.129182779347e+00      -2.094938399009e+00      -2.068296910648e+00       5.634147702547e-01       5.607976300809e-01 
       4.413079637694e-03      -1.227289596423e+00      -2.193414744476e+00      -2.208531177037e+00       0.000000000000e+00      -1.128547065739e+00      -2.206345648207e+00      -2.176512142529e+00       5.612680025733e-01       5.590405200147e-01 
       4.531305845636e-03      -1.226856048046e+00      -2.306234357188e+00      -2.323016088309e+00       0.000000000000e+00      -1.124490376408e+00      -2.320572132856e+00      -2.287357967684e+00       5.591080982700e-01       5.572554106090e-01 
       4.649832402731e-03      -1.222602917325e+00      -2.421724203595e+00      -2.440308195678e+00       0.000000000000e+00      -1.117120283479e+00      -2.437583657310e+00      -2.400803080060e+00       5.569378551122e-01       5.554440929557e-01 
       4.768639348232e-03      -1.214599055442e+00      -2.539843008393e+00      -2.560373531604e+00       0.000000000000e+00      -1.106576118027e+00      -2.557345047939e+00      -2.516816160651e+00       5.547598265427e-01       5.536082187591e-01 
       4.887708412658e-03      -1.202945845712e+00      -2.660549740843e+00      -2.683178510952e+00       0.000000000000e+00      -1.093026433530e+00      -2.679821489756e+00      -2.635367143379e+00       5.525766020933e-01       5.517495849003e-01 
       5.007022853979e-03      -1.187775482613e+00      -2.783802604624e+00      -2.808688874492e+00       0.000000000000e+00      -1.076667442964e+00      -2.804977477296e+00      -2.756426148607e+00       5.503905469105e-01       5.498698745182e-01 
       5.126567311187e-03      -1.169249923684e+00      -2.909559085382e+00      -2.936870304725e+00       0.000000000000e+00      -1.057720264404e+00      -2.932777347631e+00      -2.879963939849e+00       5.482039052557e-01       5.479707628347e-01 
       5.246327673323e-03      -1.147559658674e+00      -3.037777467022e+00      -3.067688851190e+00       0.000000000000e+00      -1.036428121656e+00      -3.063185865573e+00      -3.005952456590e+00       5.460188882880e-01       5.460540053854e-01 
       5.366290962267e-03      -1.122920753162e+00      -3.168415372643e+00      -3.201109866878e+00       0.000000000000e+00      -1.013053809591e+00      -3.196167102271e+00      -3.134363637736e+00       5.438374466762e-01       5.441212105738e-01 
       5.486445227771e-03      -1.095573989817e+00      -3.301430595007e+00      -3.337099918288e+00       0.000000000000e+00      -9.878759544822e-01      -3.331686185910e+00      -3.265171045023e+00       5.416615702437e-01       5.421741398867e-01 
       5.606779453367e-03      -1.065780985821e+00      -3.436780344854e+00      -3.475624329660e+00       0.000000000000e+00      -9.611865511511e-01      -3.469707097854e+00      -3.398347654651e+00       5.394928987638e-01       5.402143153823e-01 
       5.727283471950e-03      -1.033822865910e+00      -3.574422615775e+00      -3.616649634276e+00       0.000000000000e+00      -9.332868403312e-01      -3.610194962321e+00      -3.533867992600e+00       5.373330961288e-01       5.382433930926e-01 
