# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       5.968764019274e-03       2.237560936348e+05       2.209117827806e+05       5.525715903627e+04       5.012881540337e+04       0.000000000000e+00       2.183582328577e+05 
       6.089723815788e-03       2.231179849695e+05       2.201621166276e+05       5.106862642943e+04       4.652394791129e+04       0.000000000000e+00       2.176063423911e+05 
       6.210819824242e-03       2.224748781993e+05       2.194054177559e+05       4.711125019621e+04       4.315840286813e+04       0.000000000000e+00       2.168560698314e+05 
       6.332045128346e-03       2.218271762958e+05       2.186421665233e+05       4.338537581842e+04       4.002842977766e+04       0.000000000000e+00       2.161077803128e+05 
       6.453393305777e-03       2.211750300841e+05       2.178725038834e+05       3.989028939807e+04       3.712927190408e+04       0.000000000000e+00       2.153615501344e+05 
       6.574858387503e-03       2.205188365336e+05       2.170968841937e+05       3.662433926733e+04       3.445518250271e+04       0.000000000000e+00       2.146176775429e+05 
       6.696434820962e-03       2.198588964524e+05       2.163155613778e+05       3.358491929822e+04       3.199954413740e+04       0.000000000000e+00       2.138763241023e+05 
       6.818117436700e-03       2.191954444001e+05       2.155288698667e+05       3.076850913960e+04       2.975493107460e+04       0.000000000000e+00       2.131375852266e+05 
       6.939901418110e-03       2.185288888727e+05       2.147372082802e+05       2.817077212625e+04       2.771320105019e+04       0.000000000000e+00       2.124016852371e+05 
       7.061782273950e-03       2.178593982214e+05       2.139407070861e+05       2.578653363425e+04       2.586557247660e+04       0.000000000000e+00       2.116685888689e+05 
       7.183755813359e-03       2.171872790930e+05       2.131397491027e+05       2.360990389276e+04       2.420271353416e+04       0.000000000000e+00       2.109383945728e+05 
       7.305818123115e-03       2.165127865855e+05       2.123346378534e+05       2.163430382713e+04       2.271482889187e+04       0.000000000000e+00       2.102111290155e+05 
       7.427965546914e-03       2.158362021115e+05       2.115256444305e+05       1.985253163832e+04       2.139175092143e+04       0.000000000000e+00       2.094868199608e+05 
       7.550194666473e-03       2.151577315788e+05       2.107130506066e+05       1.825682654467e+04       2.022301345139e+04       0.000000000000e+00       2.087654224940e+05 
       7.672502284270e-03       2.144775656327e+05       2.098968932387e+05       1.683890310802e+04       1.919794475641e+04       0.000000000000e+00       2.080468288090e+05 
       7.794885407769e-03       2.137959588735e+05       2.090776093485e+05       1.559009093752e+04       1.830575442278e+04       0.000000000000e+00       2.073310388489e+05 
       7.917341234986e-03       2.131131397783e+05       2.082554359565e+05       1.450133104914e+04       1.753561115080e+04       0.000000000000e+00       2.066179923015e+05 
       8.039867141273e-03       2.124293053906e+05       2.074306464551e+05       1.356326918719e+04       1.687671325880e+04       0.000000000000e+00       2.059076044436e+05 
       8.162460667189e-03       2.117445819143e+05       2.066032579107e+05       1.276628345205e+04       1.631835841952e+04       0.000000000000e+00       2.051996887573e+05 
       8.285119507386e-03       2.110592547332e+05       2.057735889153e+05       1.210060381936e+04       1.585004967491e+04       0.000000000000e+00       2.044942359007e+05 
       8.407841500385e-03       2.103734454225e+05       2.049418257983e+05       1.155636290937e+04       1.546150838341e+04       0.000000000000e+00       2.037910834223e+05 
       8.530624619186e-03       2.096873075857e+05       2.041081876020e+05       1.112363561808e+04       1.514276534463e+04       0.000000000000e+00       2.030901027567e+05 
       8.653466962623e-03       2.090009845161e+05       2.032728465969e+05       1.079250440901e+04       1.488421028599e+04       0.000000000000e+00       2.023911538898e+05 
       8.776366747401e-03       2.083146235454e+05       2.024358222096e+05       1.055310187932e+04       1.467664812583e+04       0.000000000000e+00       2.016940814725e+05 
       8.899322300761e-03       2.076284001015e+05       2.015974841472e+05       1.039573525078e+04       1.451134299300e+04       0.000000000000e+00       2.009988172810e+05 
       9.022332053707e-03       2.069424317991e+05       2.007579203653e+05       1.031085234001e+04       1.438004459038e+04       0.000000000000e+00       2.003052093807e+05 
       9.145394534756e-03       2.062568108646e+05       1.999171044349e+05       1.028911460104e+04       1.427502540321e+04       0.000000000000e+00       1.996130768360e+05 
       9.268508364164e-03       2.055716785192e+05       1.990754408906e+05       1.032151536398e+04       1.418912351177e+04       0.000000000000e+00       1.989223596255e+05 
       9.391672248585e-03       2.048871316785e+05       1.982329679581e+05       1.039931161825e+04       1.411574582958e+04       0.000000000000e+00       1.982329145784e+05 
       9.514884976134e-03       2.042032582266e+05       1.973897141879e+05       1.051412037817e+04       1.404889060620e+04       0.000000000000e+00       1.975446028258e+05 
       9.638145411804e-03       2.035201614184e+05       1.965458615977e+05       1.065796550134e+04       1.398316194481e+04       0.000000000000e+00       1.968573366086e+05 
       9.761452493240e-03       2.028379283542e+05       1.957015626830e+05       1.082328769166e+04       1.391376662189e+04       0.000000000000e+00       1.961710246297e+05 
       9.884805226797e-03       2.021566165358e+05       1.948567245185e+05       1.100295659477e+04       1.383651217416e+04       0.000000000000e+00       1.954855268785e+05 
       1.000820268391e-02       2.014763360410e+05       1.940117443333e+05       1.119035123324e+04       1.374782384769e+04       0.000000000000e+00       1.948008402679e+05 
       1.013164399769e-02       2.007971284221e+05       1.931665112290e+05       1.137930365137e+04       1.364469130674e+04       0.000000000000e+00       1.941168394709e+05 
       1.025512835981e-02       2.001190553910e+05       1.923211202469e+05       1.156416614947e+04       1.352468644948e+04       0.000000000000e+00       1.934334641929e+05 
       1.037865501757e-02       1.994421828209e+05       1.914757141711e+05       1.173981494034e+04       1.338594402388e+04       0.000000000000e+00       1.927506807793e+05 
       1.050222327119e-02       1.987665666704e+05       1.906304070097e+05       1.190164152902e+04       1.322711875220e+04       0.000000000000e+00       1.920684579275e+05 
