# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  122       3.601419098696e+03       1.081741387685e+00       4.503849688984e-03      -3.876705625816e+01       8.808727518148e-08       3.199854812175e-04      -1.974311160558e-06 
  123       3.637564149328e+03       1.090173321808e+00       4.580873668154e-03      -3.932897134107e+01       8.753026523323e-08       3.170133463682e-04      -1.965175423709e-06 
  124       3.673762129974e+03       1.098159761120e+00       4.658699332500e-03      -3.987841918548e+01       8.697231350371e-08       3.140696869926e-04      -1.955517223587e-06 
  125       3.710007246005e+03       1.105692955632e+00       4.737332779798e-03      -4.041485478298e+01       8.641537180661e-08       3.111592607893e-04      -1.945377030785e-06 
  126       3.746293171000e+03       1.112765560542e+00       4.816780190929e-03      -4.093773549469e+01       8.586117901322e-08       3.082862687205e-04      -1.934797393690e-06 
  127       3.782613031313e+03       1.119370648683e+00       4.897047830038e-03      -4.144652133238e+01       8.531123228823e-08       3.054543114867e-04      -1.923822956338e-06 
  128       3.818959390649e+03       1.125501722978e+00       4.978142044675e-03      -4.194067523960e+01       8.476675708220e-08       3.026663451004e-04      -1.912500475800e-06 
  129       3.855324234633e+03       1.131152728883e+00       5.060069265949e-03      -4.241966337278e+01       8.422867586058e-08       2.999246355599e-04      -1.900878839107e-06 
  130       3.891698955384e+03       1.136318066847e+00       5.142836008674e-03      -4.288295538234e+01       8.369757554891e-08       2.972307126223e-04      -1.889009079706e-06 
  131       3.928074336085e+03       1.140992604756e+00       5.226448871519e-03      -4.333002469386e+01       8.317367367384e-08       2.945853226752e-04      -1.876944393460e-06 
  132       3.964440535556e+03       1.145171690388e+00       5.310914537155e-03      -4.376034878913e+01       8.265678317960e-08       2.919883807098e-04      -1.864740154183e-06 
  133       4.000787072824e+03       1.148851163859e+00       5.396239772407e-03      -4.417340948735e+01       8.214627589976e-08       2.894389213910e-04      -1.852453928705e-06 
  134       4.037102811698e+03       1.152027370080e+00       5.482431428401e-03      -4.456869322617e+01       8.164104466371e-08       2.869350492292e-04      -1.840145491483e-06 
  135       4.073375945339e+03       1.154697171202e+00       5.569496440714e-03      -4.494569134287e+01       8.113946401775e-08       2.844738878504e-04      -1.827876838743e-06 
  136       4.109593980830e+03       1.156857959071e+00       5.657441829519e-03      -4.530390035546e+01       8.063934954034e-08       2.820515283656e-04      -1.815712202158e-06 
  137       4.145744813788e+03       1.158507867754e+00       5.746274391978e-03      -4.564282684118e+01       8.013871300142e-08       2.796643202639e-04      -1.803704080935e-06 
  138       4.181820110338e+03       1.159646409594e+00       5.835999743156e-03      -4.596200204676e+01       7.963829819866e-08       2.773130844527e-04      -1.791848852986e-06 
  139       4.217812247482e+03       1.160273928887e+00       5.926623175679e-03      -4.626096933007e+01       7.913948625575e-08       2.749994536020e-04      -1.780124308167e-06 
  140       4.253713246024e+03       1.160391421307e+00       6.018149956805e-03      -4.653928000582e+01       7.864352847899e-08       2.727245572172e-04      -1.768502769874e-06 
